iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
GUF,French Guiana,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,22620.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66973.0,1.515,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1981,,0.0,,,,,-12.24,-0.185,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,18987.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70022.0,1.33,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1982,,0.0,,,,,22.727,0.302,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,22225.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73414.0,1.632,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1983,,0.0,,,,,3.704,0.06,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,21909.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77232.0,1.692,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1984,,0.0,,,,,-21.213,-0.359,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,16344.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81566.0,1.333,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1985,,0.0,,,,,-0.273,-0.004,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,15381.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86435.0,1.33,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1986,,0.0,,,,,17.176,0.228,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,16942.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91950.0,1.558,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1987,,0.0,,,,,14.219,0.222,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,18162.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97972.0,1.779,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1988,,0.0,,,,,14.91,0.265,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,19618.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104222.0,2.045,,,,,,,,,,,,,,,,,,,,,
GUF,French Guiana,1989,,0.0,,,,,15.002,0.307,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,21326.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110261.0,2.351,,,,,,,,,,,,,,,,,,,,,
